Name,Order mean,Order deviation,Duration mean (ms),Duration deviation,User CPU % mean,User CPU % deviation,System CPU % mean,System CPU % deviation,Committed heap (B) mean,Committed heap deviation,Used heap (B) mean,Used heap deviation,Used heap ratio mean,Used heap ratio deviation,Classes loaded mean,Classes loaded deviation,Methods compiled mean,Methods compiled deviation,File read duration (ms) mean,File read deviation,File write duration (ms) mean,File write deviation,Socket read duration (ms) mean,Socket read deviation,Socket write duration(ms) mean,Socket write deviation,Avg active thread mean,Avg active count deviation,Avg active daemon mean,Avg active daemon deviation,Thread sleep mean,Thread sleep deviation,GC count,GC count deviation,GC pause time,GC pause time deviation,GC % test time,GC % deviation
org.apache.commons.imaging.formats.tiff.TiffFloatingPointMultivariableTest,87.48,50.534385141531615,29,22,18.457427956163883,4.656848677988006,0.9740429316880181,0.2569199996430086,212064010,200865144,94083772,91049760,0.42184741165978823,0.11573296202455534,0.22,0.7082603003566027,0.06,0.2398979374820953,4919056,4784843,288904,271330,0,0,0,0,0.22,1.5556349186104046,0.2,1.4142135623730956,0,0,0.04,0.1979486637221575,0,0,0.08,0.5656854249492376
org.apache.commons.imaging.formats.jpeg.iptc.IptcAddTest,65.4,35.38476554469537,31,16,17.000995948910713,4.473107128670864,0.8052000778261572,0.2205007055497413,217097175,175548283,86325741,80032342,0.35827073481278177,0.08802358780102862,0.54,1.6439127043708355,0.0,0.0,7144031,9277762,176523,235862,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.06,0.23989793748209526,0,3,1.5246738513896767,7.547406225373236
org.apache.commons.imaging.formats.jpeg.exif.GpsTest,101.84,31.12670616584244,31,34,19.867013350129128,6.196981765251114,0.7973406435921788,0.232668384084925,249351372,186957883,116025159,100862148,0.42585692795013325,0.13340192822686345,0.14,0.452205479752698,0.02,0.14142135623730942,13049691,12781704,266277,261026,0,0,0,0,0.22,1.5556349186104046,0.2,1.414213562373097,0,0,0.06,0.23989793748209526,0,5,0.9561165048543689,5.719276007968881
org.apache.commons.imaging.formats.jpeg.specific.JpegImageParserTest,66.94,54.898946125716165,32,16,18.60798154771328,6.7464833585614805,1.1103394967503846,0.3807195408221629,233266216,209777057,97784346,95822461,0.3858781734776349,0.10083552464208945,0.56,2.5963868143625906,0.26,0.48697315854455187,274083,316595,47073,61888,0,0,0,0,0.44,2.177435300943732,0.4,1.9794866372215731,0,0,0.2,0.49487165930539345,0,0,0.0588235294117647,0.415945165403852
org.apache.commons.imaging.formats.png.PngWritePredictorTest,93.0,43.009253868991344,40,18,17.895489022135735,5.683582159873564,1.1070438986644149,0.3808681866308099,183988387,180692715,84011532,95363501,0.40912712276805663,0.10890330428635708,26.08,40.070264816307116,0.04,0.1979486637221575,293640,336243,508097,434901,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.22,0.6157789160643522,0,1,0.4154681139755766,1.889126416125527
org.apache.commons.imaging.formats.jpeg.exif.ExifDumpTest,87.7,46.17855761794071,50,25,16.8439547047019,4.1439452227174085,0.8708078649360687,0.4062570942537963,207146188,150488988,91212312,82228972,0.38757681307675135,0.11333276007831217,0.52,0.8628382211738002,0.06,0.23989793748209529,15750737,18539139,316716,332559,0,0,0,0,0.22,1.5556349186104046,0.2,1.4142135623730971,0,0,1.04,1.5380878667079725,4,6,7.550622908389582,10.876512353743653
org.apache.commons.imaging.formats.jpeg.iptc.IptcFullDiscardTest,97.48,55.345018026992875,50,18,16.836582623422146,3.118476964654383,1.1387068174080923,0.3371253780492912,163997286,143644368,83162729,108412959,0.4303463093543312,0.16802022340960132,212.54,199.64542139932567,0.02,0.14142135623730945,433256,1074076,310624,285788,0,0,0,0,0.44,2.177435300943732,0.4,1.9794866372215734,0,0,0.06,0.23989793748209526,0,3,1.1047619047619048,5.47053834311802
org.apache.commons.imaging.bytesource.ByteSourceDataTest,100.76,41.867897204499414,52,19,20.05231922864914,6.188308438856028,0.7769405789440498,0.2036399589824195,205384581,158489968,82168165,70145319,0.38243839727051315,0.08871100156458007,1.54,1.5146899729930594,0.0,0.0,1360406,1445619,552922,541871,0,0,0,0,0.44,2.1774353009437317,0.4,1.9794866372215734,0,0,1.02,1.1691615694634356,3,6,5.057432521186431,9.093413241698544
org.apache.commons.imaging.formats.icns.IcnsReadTest,73.9,44.683581425167695,64,17,17.9833899512887,6.266075674517932,0.8591520508052781,0.22807307429530033,222004510,194215751,95325925,99233121,0.38919536035386104,0.1440027517230987,1.32,2.5107117455788788,0.06,0.2398979374820953,1825282,2525438,114303,152801,0,0,0,0,0.22,1.5556349186104044,0.2,1.4142135623730951,0,0,0.42,0.6727949622466641,1,5,2.552722428108506,7.170773504617865
org.apache.commons.imaging.formats.bmp.BmpRoundtripTest,72.4,54.22967031853634,67,32,20.106999650597572,7.545227950981481,0.9604016306111589,0.31606796988655006,199197982,165551115,86303184,76576360,0.4244689936779073,0.12660021893288623,0.74,1.139459234434816,0.0,0.0,59457,346687,155462,149333,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.48,0.5799366608624125,0,1,0.9245524790583306,1.4736424273818358
