Name,Order mean,Order deviation,Duration mean (ms),Duration deviation,User CPU % mean,User CPU % deviation,System CPU % mean,System CPU % deviation,Committed heap (B) mean,Committed heap deviation,Used heap (B) mean,Used heap deviation,Used heap ratio mean,Used heap ratio deviation,Classes loaded mean,Classes loaded deviation,Methods compiled mean,Methods compiled deviation,File read duration (ms) mean,File read deviation,File write duration (ms) mean,File write deviation,Socket read duration (ms) mean,Socket read deviation,Socket write duration(ms) mean,Socket write deviation,Avg active thread mean,Avg active count deviation,Avg active daemon mean,Avg active daemon deviation,Thread sleep mean,Thread sleep deviation,GC count,GC count deviation,GC pause time,GC pause time deviation,GC % test time,GC % deviation
org.apache.commons.codec.digest.XXHash32OverflowTest,56.0,0.0,69,4,22.684465944767,5.983430147811292,1.0011351620778441,0.32621861616753506,1756941516,272280456,168752848,39010235,0.09514533988433901,0.007068787983077592,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,30,4,43.102332370290114,3.332472933347749
org.apache.commons.codec.binary.Base64Test,7.0,0.0,74,2,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,80111206,861493,16849804,227879,0.2098678284354502,0.003782357159508364,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.4,0.5477225575051661,13,1,18.230080077736893,1.0587344960363572
org.apache.commons.codec.digest.Sha256CryptTest,41.0,0.0,74,4,37.7544042468071,1.9347630220359064,1.2499473430216312,0.3081792338057105,2055208960,0,149392332,116608,0.07266446087971974,6.528030296320654E-5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1,0,1.608305398509031,0.5200039084450784
org.apache.commons.codec.binary.HexTest,17.0,0.0,82,3,46.282134652137756,1.184742786365495,1.5392153011634946,0.25310607251553696,61970841,6073599,29638900,1941372,0.47930625833288565,0.018908183597970512,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4.0,5.477225575051661,3.6,4.929503017546495,0,0,0.4,0.5477225575051662,0,0,0.25,0.5590169943749475
org.apache.commons.codec.digest.PureJavaCrc32Test,40.0,0.0,83,4,37.7544042468071,1.9347630220359064,1.2499473430216312,0.3081792338057105,2055208960,0,35958168,574826,0.017467886337096148,2.665057208569313E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.digest.MurmurHash3Test,39.0,0.0,89,6,37.7544042468071,1.9347630220359064,1.2499473430216312,0.3081792338057105,1374263705,64899993,82340241,28152251,0.06006515938057001,0.02086884710686369,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4.0,0.0,29,7,32.42709509837565,5.389565033608002
org.apache.commons.codec.language.bm.PhoneticEngineTest,28.0,0.0,93,5,45.36445111036301,0.8011151069412533,1.4690652582794428,0.2719526144792109,110310195,12349180,46976645,3509035,0.42690712769407585,0.01647823744444425,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.6,0.5477225575051662,1,1,1.6471537427162708,1.6890507292722214
org.apache.commons.codec.binary.AllocateDirectHexTest,8.0,0.0,223,13,49.36352550983429,0.7334409716566064,1.822681464254856,0.20743045209580221,44983910,15219711,18940385,3022565,0.4462089853609288,0.09605120987976408,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3.2,1.6431676725154984,3,1,1.4129492348645905,0.5139446799227831
org.apache.commons.codec.digest.DigestUtilsTest,42.0,0.0,724,120,33.45096968114376,2.180235576256007,1.20322922244668,0.2516719955044,2055208960,0,262826497,740144,0.12786103542234334,3.615059482484817E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10.0,0.0,9.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.digest.HmacAlgorithmsTest,54.0,0.0,874,271,26.282823905348778,3.7997780924454387,1.0724791465327144,0.28536555068236663,2055208960,0,262826497,740144,0.12786103542234334,3.615059482484817E-4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8.8,4.919349550499538,7.2,4.024922359499621,0,0,0.0,0.0,0,0,0.0,0.0
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest,30.0,0.0,1078,92,41.55942767858505,1.3421762902605647,1.359506300650537,0.2879401101647561,401814323,67076702,88121997,27109164,0.22621904838645043,0.08481627571668598,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10.0,0.0,9.0,0.0,0,0,17.4,0.8944271909999159,52,13,4.865760273546939,1.2327512402371188
org.apache.commons.codec.digest.MessageDigestAlgorithmsTest,58.0,0.0,5532,400,16.51639424264431,0.7216641302831993,0.574287852505222,0.07620635948058295,2055208960,0,172245322,27081376,0.08377773452705331,0.01317526047646475,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11.0,0.0,9.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
